OS,Application,Library
slackware,Firefox,libdl
slackware,Firefox,libstdc++
slackware,Firefox,libpthread
slackware,Firefox,ld-linux-x86-64
slackware,Firefox,libgcc_s
slackware,Firefox,libm
slackware,Firefox,libc
slackware,Chromium,libxcb-shape
slackware,Chromium,libsmime3
slackware,Chromium,libhogweed
slackware,Chromium,libXfixes
slackware,Chromium,libnettle
slackware,Chromium,libcrypt
slackware,Chromium,libxshmfence
slackware,Chromium,libdbus-1
slackware,Chromium,libpango-1.0
slackware,Chromium,libXau
slackware,Chromium,libSM
slackware,Chromium,libglib-2.0
slackware,Chromium,libpangoft2-1.0
slackware,Chromium,libasound
slackware,Chromium,libpangocairo-1.0
slackware,Chromium,libICE
slackware,Chromium,libXdmcp
slackware,Chromium,libresolv
slackware,Chromium,libgmodule-2.0
slackware,Chromium,libXss
slackware,Chromium,libatk-bridge-2.0
slackware,Chromium,libpixman-1
slackware,Chromium,libxcb
slackware,Chromium,librt
slackware,Chromium,libgnutls
slackware,Chromium,libXrender
slackware,Chromium,libxcb-dri3
slackware,Chromium,libfreetype
slackware,Chromium,libz
slackware,Chromium,ld-linux-x86-64
slackware,Chromium,libfontconfig
slackware,Chromium,libplds4
slackware,Chromium,libEGL
slackware,Chromium,libepoxy
slackware,Chromium,libpthread
slackware,Chromium,libXi
slackware,Chromium,libgthread-2.0
slackware,Chromium,libgmp
slackware,Chromium,libxcb-sync
slackware,Chromium,libm
slackware,Chromium,libXinerama
slackware,Chromium,libXext
slackware,Chromium,libbz2
slackware,Chromium,libgdk_pixbuf-2.0
slackware,Chromium,libcairo
slackware,Chromium,libXtst
slackware,Chromium,libidn
slackware,Chromium,libatk-1.0
slackware,Chromium,libexpat
slackware,Chromium,libxcb-dri2
slackware,Chromium,libX11
slackware,Chromium,libgdk-3
slackware,Chromium,libgio-2.0
slackware,Chromium,libX11-xcb
slackware,Chromium,libXrandr
slackware,Chromium,libxcb-xfixes
slackware,Chromium,libgbm
slackware,Chromium,libffi
slackware,Chromium,libgcc_s
slackware,Chromium,libxcb-present
slackware,Chromium,libxcb-shm
slackware,Chromium,libuuid
slackware,Chromium,libpng16
slackware,Chromium,libp11-kit
slackware,Chromium,libgtk-3
slackware,Chromium,libglapi
slackware,Chromium,libXcursor
slackware,Chromium,libatspi
slackware,Chromium,libXcomposite
slackware,Chromium,libdrm
slackware,Chromium,libcups
slackware,Chromium,libxcb-randr
slackware,Chromium,libnss3
slackware,Chromium,libdl
slackware,Chromium,libFLAC
slackware,Chromium,libplc4
slackware,Chromium,libXxf86vm
slackware,Chromium,libnssutil3
slackware,Chromium,libXdamage
slackware,Chromium,libogg
slackware,Chromium,libc
slackware,Chromium,libnspr4
slackware,Chromium,libxcb-glx
slackware,Chromium,libcairo-gobject
slackware,Chromium,libharfbuzz
slackware,Chromium,libxcb-render
slackware,Chromium,libGL
slackware,Chromium,libgobject-2.0
slackware,Audacity,libxcb-shape
slackware,Audacity,libgdk-x11-2.0
slackware,Audacity,libstdc++
slackware,Audacity,libpixman-1
slackware,Audacity,libxcb
slackware,Audacity,libexpat
slackware,Audacity,libgbm
slackware,Audacity,libXxf86vm
slackware,Audacity,libXfixes
slackware,Audacity,libwx_gtk2u_html-2.8
slackware,Audacity,librt
slackware,Audacity,libwx_gtk2u_adv-2.8
slackware,Audacity,libxshmfence
slackware,Audacity,libXrender
slackware,Audacity,libXcomposite
slackware,Audacity,libxcb-dri2
slackware,Audacity,libxcb-dri3
slackware,Audacity,libwx_gtk2u_qa-2.8
slackware,Audacity,libfreetype
slackware,Audacity,libdrm
slackware,Audacity,libgthread-2.0
slackware,Audacity,libpango-1.0
slackware,Audacity,libffi
slackware,Audacity,libX11
slackware,Audacity,libXau
slackware,Audacity,libgtk-x11-2.0
slackware,Audacity,libwx_gtk2u_core-2.8
slackware,Audacity,libz
slackware,Audacity,libvorbisenc
slackware,Audacity,ld-linux-x86-64
slackware,Audacity,libsndfile
slackware,Audacity,libgio-2.0
slackware,Audacity,libfontconfig
slackware,Audacity,libX11-xcb
slackware,Audacity,libxcb-randr
slackware,Audacity,libFLAC
slackware,Audacity,libdl
slackware,Audacity,libwx_gtk2u_aui-2.8
slackware,Audacity,libEGL
slackware,Audacity,libXrandr
slackware,Audacity,libglib-2.0
slackware,Audacity,libxcb-xfixes
slackware,Audacity,libwx_gtk2u_xrc-2.8
slackware,Audacity,libcairo
slackware,Audacity,libid3tag
slackware,Audacity,libwx_baseu-2.8
slackware,Audacity,libwx_baseu_xml-2.8
slackware,Audacity,libmad
slackware,Audacity,libpangoft2-1.0
slackware,Audacity,libwx_baseu_net-2.8
slackware,Audacity,libvorbis
slackware,Audacity,libpangocairo-1.0
slackware,Audacity,libasound
slackware,Audacity,libgcc_s
slackware,Audacity,libXi
slackware,Audacity,libXdamage
slackware,Audacity,libxcb-present
slackware,Audacity,libogg
slackware,Audacity,libm
slackware,Audacity,libXinerama
slackware,Audacity,libwx_gtk2u_richtext-2.8
slackware,Audacity,libc
slackware,Audacity,libxcb-sync
slackware,Audacity,libxcb-shm
slackware,Audacity,libXdmcp
slackware,Audacity,libxcb-glx
slackware,Audacity,libresolv
slackware,Audacity,libpng16
slackware,Audacity,libgmodule-2.0
slackware,Audacity,libharfbuzz
slackware,Audacity,libSoundTouch
slackware,Audacity,libglapi
slackware,Audacity,libxcb-render
slackware,Audacity,libXext
slackware,Audacity,libXcursor
slackware,Audacity,libvorbisfile
slackware,Audacity,libGL
slackware,Audacity,libbz2
slackware,Audacity,libgdk_pixbuf-2.0
slackware,Audacity,libFLAC++
slackware,Audacity,libatk-1.0
slackware,Audacity,libgobject-2.0
slackware,Audacity,libpthread
slackware,Keepassxc,libxcb-shape
slackware,Keepassxc,libstdc++
slackware,Keepassxc,libxcb
slackware,Keepassxc,libexpat
slackware,Keepassxc,libXfixes
slackware,Keepassxc,libmozjs185
slackware,Keepassxc,libQt5Core
slackware,Keepassxc,libgcrypt
slackware,Keepassxc,librt
slackware,Keepassxc,libxshmfence
slackware,Keepassxc,libdbus-1
slackware,Keepassxc,libsodium
slackware,Keepassxc,libdrm
slackware,Keepassxc,libxcb-dri2
slackware,Keepassxc,libxcb-dri3
slackware,Keepassxc,libX11
slackware,Keepassxc,libXau
slackware,Keepassxc,libz
slackware,Keepassxc,libQt5Gui
slackware,Keepassxc,libicuuc
slackware,Keepassxc,ld-linux-x86-64
slackware,Keepassxc,libproxy
slackware,Keepassxc,libgpg-error
slackware,Keepassxc,libxcb-randr
slackware,Keepassxc,libX11-xcb
slackware,Keepassxc,libplds4
slackware,Keepassxc,libdl
slackware,Keepassxc,libplc4
slackware,Keepassxc,libglib-2.0
slackware,Keepassxc,libxcb-xfixes
slackware,Keepassxc,libQt5Widgets
slackware,Keepassxc,libpthread
slackware,Keepassxc,libXxf86vm
slackware,Keepassxc,libQt5Network
slackware,Keepassxc,libgthread-2.0
slackware,Keepassxc,libQt5DBus
slackware,Keepassxc,libgcc_s
slackware,Keepassxc,libxcb-present
slackware,Keepassxc,libXdamage
slackware,Keepassxc,libxcb-sync
slackware,Keepassxc,libm
slackware,Keepassxc,libXdmcp
slackware,Keepassxc,libc
slackware,Keepassxc,libnspr4
slackware,Keepassxc,libxcb-glx
slackware,Keepassxc,libpng16
slackware,Keepassxc,libargon2
slackware,Keepassxc,libicudata
slackware,Keepassxc,libglapi
slackware,Keepassxc,libpcre16
slackware,Keepassxc,libxcb-render
slackware,Keepassxc,libXext
slackware,Keepassxc,libicui18n
slackware,Keepassxc,libGL
slackware,Libreoffice,libpdfiumlo
slackware,Libreoffice,libjpeg
slackware,Libreoffice,liblcms2
slackware,Libreoffice,libxcb-shape
slackware,Libreoffice,libsmime3
slackware,Libreoffice,libcurl
slackware,Libreoffice,libboost_filesystem
slackware,Libreoffice,libhogweed
slackware,Libreoffice,libXfixes
slackware,Libreoffice,libgpgme
slackware,Libreoffice,libdeploymentmisclo
slackware,Libreoffice,libnettle
slackware,Libreoffice,libjvmaccesslo
slackware,Libreoffice,libcrypt
slackware,Libreoffice,libssh2
slackware,Libreoffice,libxshmfence
slackware,Libreoffice,libdbus-1
slackware,Libreoffice,libboost_chrono
slackware,Libreoffice,libXau
slackware,Libreoffice,libicuuc
slackware,Libreoffice,libtllo
slackware,Libreoffice,libassuan
slackware,Libreoffice,libsasl2
slackware,Libreoffice,libcppcanvaslo
slackware,Libreoffice,libglib-2.0
slackware,Libreoffice,libXdmcp
slackware,Libreoffice,libboost_iostreams
slackware,Libreoffice,libcrypto
slackware,Libreoffice,libsvllo
slackware,Libreoffice,libresolv
slackware,Libreoffice,libgmodule-2.0
slackware,Libreoffice,libsofficeapp
slackware,Libreoffice,libsvtlo
slackware,Libreoffice,libsaxlo
slackware,Libreoffice,libstdc++
slackware,Libreoffice,libpixman-1
slackware,Libreoffice,libxcb
slackware,Libreoffice,libcanvastoolslo
slackware,Libreoffice,libsfxlo
slackware,Libreoffice,librt
slackware,Libreoffice,libfwelo
slackware,Libreoffice,libgnutls
slackware,Libreoffice,libXrender
slackware,Libreoffice,libxcb-dri3
slackware,Libreoffice,libfreetype
slackware,Libreoffice,libz
slackware,Libreoffice,libgpgmepp
slackware,Libreoffice,libuno_cppu
slackware,Libreoffice,ld-linux-x86-64
slackware,Libreoffice,libfontconfig
slackware,Libreoffice,libxolo
slackware,Libreoffice,libplds4
slackware,Libreoffice,libEGL
slackware,Libreoffice,libepoxy
slackware,Libreoffice,libsqlite3
slackware,Libreoffice,libpthread
slackware,Libreoffice,libssl3
slackware,Libreoffice,libi18nlangtag
slackware,Libreoffice,libboost_system
slackware,Libreoffice,libgmp
slackware,Libreoffice,libsvxlo
slackware,Libreoffice,libxcb-sync
slackware,Libreoffice,libm
slackware,Libreoffice,libldap-2.4
slackware,Libreoffice,libsvxcorelo
slackware,Libreoffice,libXext
slackware,Libreoffice,libicui18n
slackware,Libreoffice,libbz2
slackware,Libreoffice,libcairo
slackware,Libreoffice,libidn
slackware,Libreoffice,libuno_sal
slackware,Libreoffice,libutllo
slackware,Libreoffice,libfwilo
slackware,Libreoffice,libboost_thread
slackware,Libreoffice,libexpat
slackware,Libreoffice,liborcus-parser-0.13
slackware,Libreoffice,libsoftokn3
slackware,Libreoffice,libeditenglo
slackware,Libreoffice,libstorelo
slackware,Libreoffice,libxcb-dri2
slackware,Libreoffice,libdbus-glib-1
slackware,Libreoffice,libucbhelper
slackware,Libreoffice,libX11
slackware,Libreoffice,libharfbuzz-icu
slackware,Libreoffice,libgio-2.0
slackware,Libreoffice,libX11-xcb
slackware,Libreoffice,libtklo
slackware,Libreoffice,libxcb-xfixes
slackware,Libreoffice,libdrawinglayerlo
slackware,Libreoffice,liborcus-0.13
slackware,Libreoffice,libgbm
slackware,Libreoffice,libffi
slackware,Libreoffice,libgcc_s
slackware,Libreoffice,libxcb-present
slackware,Libreoffice,libxcb-shm
slackware,Libreoffice,libboost_locale
slackware,Libreoffice,liblber-2.4
slackware,Libreoffice,libxmlscriptlo
slackware,Libreoffice,libpng16
slackware,Libreoffice,libp11-kit
slackware,Libreoffice,libxmlreaderlo
slackware,Libreoffice,libglapi
slackware,Libreoffice,libunoidllo
slackware,Libreoffice,libreglo
slackware,Libreoffice,libopencllo
slackware,Libreoffice,liblangtag-lo
slackware,Libreoffice,libsblo
slackware,Libreoffice,liblnglo
slackware,Libreoffice,libi18nutil
slackware,Libreoffice,libdrm
slackware,Libreoffice,libbasegfxlo
slackware,Libreoffice,libssl
slackware,Libreoffice,libcups
slackware,Libreoffice,libgpg-error
slackware,Libreoffice,libxcb-randr
slackware,Libreoffice,libnss3
slackware,Libreoffice,libdl
slackware,Libreoffice,libplc4
slackware,Libreoffice,libdbtoolslo
slackware,Libreoffice,libavmedialo
slackware,Libreoffice,liblzma
slackware,Libreoffice,libXxf86vm
slackware,Libreoffice,libnssutil3
slackware,Libreoffice,libxml2
slackware,Libreoffice,libXdamage
slackware,Libreoffice,libc
slackware,Libreoffice,libnspr4
slackware,Libreoffice,libclewlo
slackware,Libreoffice,libxcb-glx
slackware,Libreoffice,libharfbuzz
slackware,Libreoffice,libuno_cppuhelpergcc3
slackware,Libreoffice,libicudata
slackware,Libreoffice,libxcb-render
slackware,Libreoffice,libuno_salhelpergcc3
slackware,Libreoffice,libGL
slackware,Libreoffice,libsotlo
slackware,Libreoffice,libvcllo
slackware,Libreoffice,libcomphelper
slackware,Libreoffice,libjvmfwklo
slackware,Libreoffice,libgobject-2.0
slackware,GIMP,libxcb-shape
slackware,GIMP,libgdk-x11-2.0
slackware,GIMP,libpixman-1
slackware,GIMP,libxcb
slackware,GIMP,libgimpthumb-2.0
slackware,GIMP,libexpat
slackware,GIMP,libgimpmodule-2.0
slackware,GIMP,libXfixes
slackware,GIMP,libbabl-0.1
slackware,GIMP,librt
slackware,GIMP,libxshmfence
slackware,GIMP,libdbus-1
slackware,GIMP,libgimpmath-2.0
slackware,GIMP,libXrender
slackware,GIMP,libxcb-dri2
slackware,GIMP,libxcb-dri3
slackware,GIMP,libfreetype
slackware,GIMP,libdrm
slackware,GIMP,libXcomposite
slackware,GIMP,libpango-1.0
slackware,GIMP,libdbus-glib-1
slackware,GIMP,libX11
slackware,GIMP,libXau
slackware,GIMP,libz
slackware,GIMP,libgimpcolor-2.0
slackware,GIMP,libgtk-x11-2.0
slackware,GIMP,ld-linux-x86-64
slackware,GIMP,libgio-2.0
slackware,GIMP,libfontconfig
slackware,GIMP,libX11-xcb
slackware,GIMP,libxcb-randr
slackware,GIMP,libdl
slackware,GIMP,libEGL
slackware,GIMP,libXrandr
slackware,GIMP,libglib-2.0
slackware,GIMP,libxcb-xfixes
slackware,GIMP,libgbm
slackware,GIMP,libpthread
slackware,GIMP,libpangoft2-1.0
slackware,GIMP,libXxf86vm
slackware,GIMP,libffi
slackware,GIMP,libgthread-2.0
slackware,GIMP,libgegl-0.2
slackware,GIMP,libXi
slackware,GIMP,libpangocairo-1.0
slackware,GIMP,libgimpconfig-2.0
slackware,GIMP,libxcb-present
slackware,GIMP,libXdamage
slackware,GIMP,libxcb-sync
slackware,GIMP,libm
slackware,GIMP,libXdmcp
slackware,GIMP,libgimpwidgets-2.0
slackware,GIMP,libc
slackware,GIMP,libXinerama
slackware,GIMP,libxcb-shm
slackware,GIMP,libresolv
slackware,GIMP,libpng16
slackware,GIMP,libgimpbase-2.0
slackware,GIMP,libgmodule-2.0
slackware,GIMP,libxcb-glx
slackware,GIMP,libharfbuzz
slackware,GIMP,libglapi
slackware,GIMP,libxcb-render
slackware,GIMP,libXext
slackware,GIMP,libXcursor
slackware,GIMP,libGL
slackware,GIMP,libbz2
slackware,GIMP,libgdk_pixbuf-2.0
slackware,GIMP,libcairo
slackware,GIMP,libgobject-2.0
slackware,GIMP,libatk-1.0
slackware,InkScape,libjpeg
slackware,InkScape,liblcms2
slackware,InkScape,libgdk-x11-2.0
slackware,InkScape,libxcb-shape
slackware,InkScape,libIex-2_2
slackware,InkScape,libsmime3
slackware,InkScape,libwpg-0.3
slackware,InkScape,libXfixes
slackware,InkScape,libxshmfence
slackware,InkScape,libcairomm-1.0
slackware,InkScape,libpango-1.0
slackware,InkScape,libsigc-2.0
slackware,InkScape,libXau
slackware,InkScape,libIlmImf-2_2
slackware,InkScape,libicuuc
slackware,InkScape,libSM
slackware,InkScape,libgomp
slackware,InkScape,libgdkmm-2.4
slackware,InkScape,libglib-2.0
slackware,InkScape,librevenge-stream-0.0
slackware,InkScape,libcroco-0.6
slackware,InkScape,libpangoft2-1.0
slackware,InkScape,libpangocairo-1.0
slackware,InkScape,libImath-2_2
slackware,InkScape,libgc
slackware,InkScape,libXdmcp
slackware,InkScape,libICE
slackware,InkScape,libopenjp2
slackware,InkScape,libpoppler-glib
slackware,InkScape,libHalf
slackware,InkScape,libresolv
slackware,InkScape,libgmodule-2.0
slackware,InkScape,librsvg-2
slackware,InkScape,libMagickWand-6.Q16
slackware,InkScape,libgtkmm-2.4
slackware,InkScape,libstdc++
slackware,InkScape,libpixman-1
slackware,InkScape,libxcb
slackware,InkScape,librt
slackware,InkScape,libXrender
slackware,InkScape,libxcb-dri3
slackware,InkScape,libfreetype
slackware,InkScape,libz
slackware,InkScape,ld-linux-x86-64
slackware,InkScape,libfontconfig
slackware,InkScape,libplds4
slackware,InkScape,libEGL
slackware,InkScape,libXt
slackware,InkScape,libsqlite3
slackware,InkScape,libpthread
slackware,InkScape,libssl3
slackware,InkScape,libXi
slackware,InkScape,libgthread-2.0
slackware,InkScape,libxcb-sync
slackware,InkScape,libm
slackware,InkScape,libXinerama
slackware,InkScape,libglibmm-2.4
slackware,InkScape,librevenge-0.0
slackware,InkScape,libXext
slackware,InkScape,libwpd-0.10
slackware,InkScape,libicui18n
slackware,InkScape,libbz2
slackware,InkScape,libexif
